2112  1  0 
2212  1  1
1114  2 -1 
2114  2  0
2214  2  1
2224  2  2
3122 32  0 
3112 33 -1 
3212 33  0
3222 33  1
3114 34 -1 
3214 34  0
3224 34  1
3312 53 -1 
3322 53  0
3314 54 -1 
3324 54  0
3334 55 -1 
-211 101  -1 
 111 101   0
 211 101   1
 221 102   0 
-213 103  -1 
 113 103   0
 213 103   1
 223 105   0 
 331 106   0 
 333 107   0 
 311 110   0 
 321 110   1 
-321 111  -1 
-311 111   0 
 313 112   1 
 323 112   0 
-323 113  -1 
-313 113   0 
22 999 0
443 109 0
411 104 1
421 104 0
-411 105 -1
-421 105 0
431 118 1
11 901 -1
13 902 -1
15 903 -1
12 911 0
14 912 0
16 913 0
22 999 0
